,country,name,full_name,isin,currency,symbol
0,malaysia,Media Chinese Int,Media Chinese International Ltd,BMG5959D1048,MYR,MDCH
1,malaysia,AMMB,AMMB Holdings Bhd,MYL1015OO006,MYR,AMMB
2,malaysia,CIMB Group,CIMB Group Holdings Bhd,MYL1023OO000,MYR,CIMB
3,malaysia,RHB Bank,RHB Bank Bhd,MYL1066OO009,MYR,RHBC
4,malaysia,Hong Leong Financial,Hong Leong Financial Group Bhd,MYL1082OO006,MYR,HLCB
5,malaysia,Malayan Banking,Malayan Banking Bhd,MYL1155OO000,MYR,MBBM
6,malaysia,Malaysia Building,Malaysia Building Society Bhd,MYL1171OO007,MYR,MBSS
7,malaysia,Public Bank,Public Bank Bhd,MYL1295OO004,MYR,PUBM
8,malaysia,Berjaya Sports Toto,Berjaya Sports Toto Bhd,MYL1562OO007,MYR,BSTB
9,malaysia,DRB Hicom,DRB - Hicom Bhd,MYL1619OO005,MYR,DRBM
10,malaysia,Malaysian Resources,Malaysian Resources Corporation,MYL1651OO008,MYR,MYRS
11,malaysia,Bursa Malaysia,Bursa Malaysia Bhd,MYL1818OO003,MYR,BMYS
12,malaysia,IOI Corp,IOI Corporation Bhd,MYL1961OO001,MYR,IOIB
13,malaysia,TDM,TDM Bhd,MYL2054OO004,MYR,TDMS
14,malaysia,MMC Corp,MMC Corporation Bhd,MYL2194OO008,MYR,MMCB
15,malaysia,Genting Plantations,Genting Plantations Bhd,MYL2291OO002,MYR,GENP
16,malaysia,Kuala Lumpur Kepong,Kuala Lumpur Kepong Bhd,MYL2445OO004,MYR,KLKK
17,malaysia,Alliance Bank Malaysia,Alliance Financial Group Bhd,MYL2488OO004,MYR,ALLI
18,malaysia,Boustead,Boustead Holdings Bhd,MYL2771OO003,MYR,BOUS
19,malaysia,Carlsberg Brewery,Carlsberg Brewery Malaysia Bhd,MYL2836OO004,MYR,CBMS
20,malaysia,Dutch Lady Milk,Dutch Lady Milk Industries Bhd,MYL3026OO001,MYR,DBMS
21,malaysia,Hap Seng Consolidated,Hap Seng Consolidated Bhd,MYL3034OO005,MYR,HAPS
22,malaysia,Genting,Genting Bhd,MYL3182OO002,MYR,GENT
23,malaysia,IJM Corp,IJM Corporation Bhd,MYL3336OO004,MYR,IJMS
24,malaysia,Berjaya Corp,Berjaya Corporation Bhd,MYL3395OO000,MYR,BGRO
25,malaysia,Eastern & Oriental,Eastern & Oriental Bhd,MYL3417OO002,MYR,ENOB
26,malaysia,Lafarge Malayan Cement,Lafarge Malayan Cement Bhd,MYL3794OO004,MYR,MALY
27,malaysia,MISC,MISC Bhd,MYL3816OO005,MYR,MISC
28,malaysia,Magnum,Magnum Bhd,MYL3859OO005,MYR,MAGM
29,malaysia,Mulpha Int,Mulpha International Bhd,MYL3905OO006,MYR,MITC
30,malaysia,PPB,PPB Group Bhd,MYL4065OO008,MYR,PEPT
31,malaysia,BAT Malaysia,British American Tobacco Malaysia Bhd,MYL4162OO003,MYR,BATO
32,malaysia,Sime Darby,Sime Darby Bhd,MYL4197OO009,MYR,SIME
33,malaysia,Media Prima,Media Prima Bhd,MYL4502OO000,MYR,MPRM
34,malaysia,UMW,UMW Holdings Bhd,MYL4588OO009,MYR,UMWS
35,malaysia,YTL Corp,YTL Corporation Bhd,MYL4677OO000,MYR,YTLS
36,malaysia,Telekom Malaysia,Telekom Malaysia Bhd,MYL4863OO006,MYR,TLMM
37,malaysia,TIME Dotcom,TIME Dotcom Bhd,MYL5031OO009,MYR,TCOM
38,malaysia,TH Plantations,TH Plantations Bhd,MYL5112OO007,MYR,THPB
39,malaysia,Zhulian Corp,Zhulian Corporation Bhd,MYL5131OO007,MYR,ZHCO
40,malaysia,UEM Sunrise,UEM Sunrise Bhd,MYL5148OO001,MYR,UMSB
41,malaysia,TA Global,TA Global Bhd,MYL5158OO000,MYR,TAGL
42,malaysia,UOA Development,UOA Development Bhd,MYL5200OO000,MYR,UOAD
43,malaysia,Tenaga Nasional,Tenaga Nasional Bhd,MYL5347OO009,MYR,TENA
44,malaysia,Tropicana Corp,Tropicana Corporation Bhd,MYL5401OO004,MYR,TROP
45,malaysia,YTL Power Int,YTL Power International Bhd,MYL6742OO000,MYR,YTLP
46,malaysia,Top Glove Corp,Top Glove Corporation Bhd,MYL7113OO003,MYR,TPGC
47,malaysia,TSH Resources,TSH Resources Bhd,MYL9059OO006,MYR,TSHR
48,malaysia,WCT,WCT Holdings Bhd,MYL9679OO001,MYR,WCTE
49,malaysia,POS Malaysia & Srvcs,POS Malaysia&Services Holdings Bhd,MYL4634OO001,MYR,PSHL
50,malaysia,Genting Malaysia,Genting Malaysia Bhd,MYL4715OO008,MYR,GENM
51,malaysia,Ta Ann,Ta Ann Holdings Bhd,MYL5012OO009,MYR,TAAN
52,malaysia,Malaysia Airport,Malaysia Airport Holdings Bhd,MYL5014OO005,MYR,MAHB
53,malaysia,OSK,OSK Holdings Bhd,MYL5053OO003,MYR,OSKH
54,malaysia,Malaysian Bulk Carriers,Malaysian Bulk Carriers Bhd,MYL5077OO002,MYR,MBCB
55,malaysia,Mudajaya,Mudajaya Group Bhd,MYL5085OO005,MYR,MJYA
56,malaysia,Airasia,Airasia Bhd,MYL5099OO006,MYR,AIRA
57,malaysia,Rimbunan Sawit,Rimbunan Sawit Bhd,MYL5113OO005,MYR,RIMB
58,malaysia,Hap Seng Plantations,Hap Seng Plantations Holdings Bhd,MYL5138OO002,MYR,HAPP
59,malaysia,Aeon Credit Service,Aeon Credit Service Bhd,MYL5139OO000,MYR,ANCR
60,malaysia,Dayang Enterprise,Dayang Enterprise Holdings Bhd,MYL5141OO006,MYR,DEHB
61,malaysia,JCY Int,JCY International Bhd,MYL5161OO004,MYR,JCYI
62,malaysia,Hartalega,Hartalega Holdings Bhd,MYL5168OO009,MYR,HTHB
63,malaysia,CapitaLand Malaysia Mall,CapitaLand Malaysia Mall Trust,MYL5180TO003,MYR,CAMA
64,malaysia,Petronas Chemicals,Petronas Chemicals Group Bhd,MYL5183OO008,MYR,PCGB
65,malaysia,Malaysia Marine and Heavy Eng,Malaysia Marine and Heavy Engineering Holdings Bhd,MYL5186OO001,MYR,MHEB
66,malaysia,Gas Malaysia,Gas Malaysia Bhd,MYL5209OO001,MYR,GASM
67,malaysia,Bumi Armada,Bumi Armada Bhd,MYL5210OO009,MYR,BUAB
68,malaysia,Sunway,Sunway Bhd,MYL5211OO007,MYR,SWAY
69,malaysia,Pavilion REIT,Pavilion Real Estate Inv Trust,MYL5212TO004,MYR,PREI
70,malaysia,Sapura Energy,Sapura Energy Bhd,MYL5218OO002,MYR,SAEN
71,malaysia,Felda Global Ventures,Felda Global Ventures Holdings Bhd,MYL5222OO004,MYR,FGVH
72,malaysia,IHH Healthcare,IHH Healthcare Bhd,MYL5225OO007,MYR,IHHH
73,malaysia,IGB REIT,IGB Real Estate Investment Trust,MYL5227TO002,MYR,IGRE
74,malaysia,KLCC Property,KLCC Property Holdings Bhd,MYL5235SS008,MYR,KLCC
75,malaysia,BIMB,BIMB Holdings Bhd,MYL5258OO008,MYR,BIMB
76,malaysia,Gamuda,Gamuda Bhd,MYL5398OO002,MYR,GAMU
77,malaysia,Parkson,Parkson Holdings Bhd,MYL5657OO001,MYR,PRKN
78,malaysia,Petronas Dagangan,Petronas Dagangan Bhd,MYL5681OO001,MYR,PETR
79,malaysia,Hong Leong Bank,Hong Leong Bank Bhd,MYL5819OO007,MYR,HLBB
80,malaysia,KPJ Healthcare,KPJ Healthcare Bhd,MYL5878OO003,MYR,KPJH
81,malaysia,MBM Resources,MBM Resources Bhd,MYL5983OO001,MYR,MBMR
82,malaysia,Maxis,Maxis Bhd,MYL6012OO008,MYR,MXSC
83,malaysia,Petronas Gas,Petronas Gas Bhd,MYL6033OO004,MYR,PGAS
84,malaysia,Astro Malaysia,Astro Malaysia Holdings Bhd,MYL6399OO009,MYR,ASTR
85,malaysia,Axiata,Axiata Group Bhd,MYL6888OO001,MYR,AXIA
86,malaysia,DiGi.Com,DiGi.Com Bhd,MYL6947OO005,MYR,DSOM
87,malaysia,Padini,Padini Holdings Bhd,MYL7052OO003,MYR,PDNI
88,malaysia,QL Resources,QL Resources Bhd,MYL7084OO006,MYR,QRES
89,malaysia,Supermax Corp,Supermax Corporation Bhd,MYL7106OO007,MYR,SUPM
90,malaysia,Kossan Rubber Ind,Kossan Rubber Industries Bhd,MYL7153OO009,MYR,KRIB
91,malaysia,Dialog,Dialog Group Bhd,MYL7277OO006,MYR,DIAL
92,malaysia,Mah Sing,Mah Sing Group Bhd,MYL8583OO006,MYR,MAHS
93,malaysia,SP Setia,SP Setia Bhd,MYL8664OO004,MYR,SETI
94,malaysia,Perisai Petroleum,Perisai Petroleum Teknologi Bhd,MYQ0047OO009,MYR,PPTB
95,malaysia,Karex,Karex,MYL5247OO001,MYR,KARE
96,malaysia,Carimin Petroleum,Carimin Petroleum Bhd,MYL5257OO000,MYR,CARM
97,malaysia,Key Alliance,Key Alliance Group Bhd,MYQ0036OO002,MYR,KGRP
98,malaysia,Appasia,Appasia Bhd,MYQ0119OO006,MYR,APPA
99,malaysia,Only World,Only World Group Holdings Bhd,MYL5260OO004,MYR,ONLY
100,malaysia,EA Technique M,EA Technique M Bhd,MYL5259OO006,MYR,EATE
101,malaysia,Prg,Prg Holdings Bhd,MYL7168OO007,MYR,PRGH
102,malaysia,Astral Asia,Astral Asia Bhd,MYL7054OO009,MYR,AASB
103,malaysia,Able,AbleGroup Bhd,MYL7086OO001,MYR,ABEL
104,malaysia,ABM Fujiya,ABM Fujiya Bhd,MYL5198OO006,MYR,ABMF
105,malaysia,Ancom,Ancom Bhd,MYL4758OO008,MYR,ACBM
106,malaysia,Acme,Acme Holdings Bhd,MYL7131OO005,MYR,ACME
107,malaysia,Acoustech,Acoustech Bhd,MYL7120OO008,MYR,ACOU
108,malaysia,Advance Synergy,Advance Synergy Bhd,MYL1481OO000,MYR,ADVA
109,malaysia,Adventa,Adventa Bhd,MYL7191OO009,MYR,ADVE
110,malaysia,AE Multi,AE Multi Holdings Bhd,MYL7146OO003,MYR,AEMU
111,malaysia,AEON Co,AEON Co (Malaysia) Bhd,MYL6599OO004,MYR,AEOM
112,malaysia,Asia File Corp,Asia File Corporation Bhd,MYL7129OO009,MYR,AFCB
113,malaysia,Apollo Food,Apollo Food Holdings Bhd,MYL6432OO008,MYR,AFHB
114,malaysia,AFFIN,AFFIN Holdings Bhd,MYL5185OO003,MYR,AFIN
115,malaysia,Allianz Malaysia,Allianz Malaysia Bhd,MYL1163OO004,MYR,AINM
116,malaysia,AirAsia X,AirAsia X Bhd,MYL5238OO000,MYR,AIRX
117,malaysia,Amalgamated Steel,Amalgamated Industrial Steel,MYL2682OO002,MYR,AISS
118,malaysia,Ajinomoto Malaysia,Ajinomoto Malaysia Bhd,MYL2658OO002,MYR,AJIN
119,malaysia,Ajiya,Ajiya Bhd,MYL7609OO000,MYR,AJIY
120,malaysia,Alam Maritim Res,Alam Maritim Resources Bhd,MYL5115OO000,MYR,ALMT
121,malaysia,Amcorp Properties,Amcorp Properties Bhd,MYL1007OO003,MYR,AMCO
122,malaysia,Aluminium Malaysia,Aluminium Company of Malaysia Bhd,MYL2674OO009,MYR,ALCO
123,malaysia,Amverton,Amverton Bhd,MYL5959OO001,MYR,AMVE
124,malaysia,Amway,Amway (Malaysia) Holdings Bhd,MYL6351OO000,MYR,AMWA
125,malaysia,Ann Joo Resources,Ann Joo Resources Bhd,MYL6556OO004,MYR,ANNJ
126,malaysia,Analabs Resources,Analabs Resources Bhd,MYL7083OO008,MYR,ANRE
127,malaysia,APB Resources,APB Resources Bhd,MYL5568OO000,MYR,APBS
128,malaysia,Apex Healthcare,Apex Healthcare Bhd,MYL7090OO003,MYR,APER
129,malaysia,Apex Equity,Apex Equity Holdings Bhd,MYL5088OO009,MYR,APES
130,malaysia,APFT,APFT Bhd,MYL5194OO005,MYR,APFT
131,malaysia,Asian Pac,Asian Pac Holdings Bhd,MYL4057OO005,MYR,APHB
132,malaysia,APM Automotive,APM Automotive Holdings Bhd,MYL5015OO002,MYR,APMA
133,malaysia,Advanced Packaging Tech,Advanced Packaging Tech (Malaysia),MYL9148OO007,MYR,APTB
134,malaysia,ARK Resources,ARK Resources Bhd,MYL7007OO007,MYR,ARKS
135,malaysia,A Rank,A Rank Bhd,MYL7214OO009,MYR,ARNK
136,malaysia,AHB,AHB Holdings Bhd,MYL7315OO004,MYR,ARTW
137,malaysia,Asia Brands,Asia Brands Bhd,MYL7722OO001,MYR,ASIA
138,malaysia,RGT Bhd,RGT Bhd,MYL9954OO008,MYR,RGTB
139,malaysia,Vizione Holdings,Vizione Holdings Bhd,MYL7070OO005,MYR,VIZI
140,malaysia,Atlan,Atlan Holdings Bhd,MYL7048OO001,MYR,ATLA
