Date,High,Low,Open,Close,Volume,Adj Close
1999-12-31,34.9375,34.5,34.9375,34.5,105000.0,12.917510032653809
2000-01-03,34.4375,33.75,34.375,33.75,581900.0,12.636691093444824
2000-01-04,34.3125,33.5625,33.5625,34.1875,602400.0,12.800505638122559
2000-01-05,35.875,34.375,34.375,35.75,817800.0,13.385531425476074
2000-01-06,35.875,35.0625,35.25,35.8125,680900.0,13.408935546875
2000-01-07,36.1875,35.625,35.8125,36.0625,391100.0,13.502535820007324
2000-01-10,36.125,35.0,36.125,35.125,481700.0,13.151524543762207
2000-01-11,35.25,34.3125,35.125,34.4375,544600.0,12.8941068649292
2000-01-12,35.0,34.375,34.4375,34.5625,749000.0,12.940909385681152
2000-01-13,34.875,34.0,34.875,34.25,452600.0,12.82390022277832
2000-01-14,34.375,33.5625,34.125,33.6875,646700.0,12.613287925720215
2000-01-18,33.4375,32.5,33.25,32.625,740500.0,12.215470314025879
2000-01-19,33.5,32.8125,32.875,33.25,453700.0,12.449479103088379
2000-01-20,33.375,32.8125,33.25,32.875,526300.0,12.309077262878418
2000-01-21,34.25,33.0,33.125,33.5625,695400.0,12.566488265991211
2000-01-24,34.5,34.0,34.375,34.0,643500.0,12.730300903320312
2000-01-25,34.25,32.875,34.125,33.0,492000.0,12.355873107910156
2000-01-26,34.0,33.0,33.25,34.0,341600.0,12.730300903320312
2000-01-27,34.25,32.8125,34.0,33.3125,469300.0,12.472882270812988
2000-01-28,33.8125,32.5,33.3125,32.5625,631600.0,12.1920747756958
2000-01-31,32.875,32.3125,32.625,32.6875,555800.0,12.238870620727539
2000-02-01,33.0625,32.5,32.75,32.875,626500.0,12.309077262878418
2000-02-02,33.0,32.3125,32.875,32.5,394000.0,12.168669700622559
2000-02-03,33.125,32.5,32.5625,32.8125,1015300.0,12.285677909851074
2000-02-04,32.875,31.625,32.8125,32.25,864300.0,12.075061798095703
2000-02-07,32.375,31.5625,32.3125,31.5625,467400.0,11.817643165588379
2000-02-08,31.625,31.1875,31.375,31.5,578900.0,11.7942476272583
2000-02-09,31.6875,31.3125,31.4375,31.4375,845300.0,11.77085018157959
2000-02-10,32.0625,31.4375,31.4375,31.8125,690400.0,11.91125202178955
2000-02-11,32.125,31.875,31.9375,32.125,1652100.0,12.028264999389648
2000-02-14,31.875,31.0625,31.75,31.25,1234200.0,11.902568817138672
2000-02-15,31.375,31.0,31.25,31.0625,389600.0,11.831151008605957
2000-02-16,30.9375,30.4375,30.9375,30.8125,349700.0,11.735937118530273
2000-02-17,30.8125,29.125,30.8125,29.25,1465300.0,11.140799522399902
2000-02-18,29.25,28.0,29.25,28.125,1251200.0,10.712312698364258
2000-02-22,28.25,27.8125,28.25,27.875,961700.0,10.61709213256836
2000-02-23,27.9375,27.5,27.9375,27.5,1122900.0,10.474261283874512
2000-02-24,27.5625,26.3125,27.5,26.75,1128600.0,10.188602447509766
2000-02-25,27.25,26.1875,26.75,26.1875,854600.0,9.974349021911621
2000-02-28,27.8125,26.5,26.75,27.375,1126000.0,10.426652908325195
2000-02-29,27.8125,27.25,27.3125,27.5625,609200.0,10.498066902160645
2000-03-01,27.875,26.8125,27.75,27.125,723200.0,10.331428527832031
2000-03-02,27.4375,27.0,27.0,27.25,551900.0,10.379040718078613
2000-03-03,27.875,27.25,27.5,27.375,415500.0,10.426652908325195
2000-03-06,27.625,26.9375,27.375,27.4375,1350400.0,10.450455665588379
2000-03-07,27.9375,27.4375,27.5,27.625,628000.0,10.52187442779541
2000-03-08,27.9375,27.375,27.5,27.5,864200.0,10.474261283874512
2000-03-09,27.6875,27.25,27.625,27.5,404300.0,10.474261283874512
2000-03-10,27.5625,27.375,27.5,27.4375,395000.0,10.450455665588379
2000-03-13,27.6875,27.25,27.25,27.6875,512900.0,10.545674324035645
2000-03-14,27.8125,27.375,27.5,27.625,473700.0,10.52187442779541
2000-03-15,29.125,27.5,27.5,29.125,790100.0,11.093193054199219
2000-03-16,31.25,30.0625,31.0,31.0,1198300.0,11.807344436645508
2000-03-17,31.0,30.5625,31.0,30.6875,798100.0,11.688322067260742
2000-03-20,30.9375,30.4375,30.5,30.6875,535200.0,11.688322067260742
2000-03-21,31.0625,30.0625,30.75,30.5,575300.0,11.61690616607666
2000-03-22,30.25,29.1875,30.25,29.375,300100.0,11.188414573669434
2000-03-23,30.125,29.3125,29.4375,30.125,397300.0,11.47407341003418
2000-03-24,30.125,29.0,30.0625,29.25,1796000.0,11.140799522399902
2000-03-27,29.3125,28.75,28.75,29.0625,636100.0,11.069389343261719
2000-03-28,29.125,28.4375,29.0,28.625,761300.0,10.902748107910156
2000-03-29,29.25,28.6875,28.75,29.0,603600.0,11.04557991027832
2000-03-30,29.5625,28.8125,29.125,29.125,491900.0,11.093193054199219
2000-03-31,29.375,28.75,29.375,29.125,553200.0,11.093193054199219
2000-04-03,29.4375,28.875,29.125,29.0,798300.0,11.04557991027832
2000-04-04,30.1875,29.0,29.0625,30.1875,1021600.0,11.497883796691895
2000-04-05,30.6875,29.5625,30.0,29.8125,565800.0,11.355051040649414
2000-04-06,30.1875,29.75,30.0,29.8125,373800.0,11.355051040649414
2000-04-07,29.9375,29.5,29.8125,29.6875,375000.0,11.307440757751465
2000-04-10,30.25,29.6875,29.6875,29.9375,859600.0,11.402660369873047
2000-04-11,30.8125,30.0,30.125,30.3125,2577100.0,11.545491218566895
2000-04-12,31.3125,30.5,30.5625,30.625,452300.0,11.664519309997559
2000-04-13,32.375,30.625,30.625,31.9375,409700.0,12.164424896240234
2000-04-14,32.1875,31.1875,31.75,31.3125,615700.0,11.926369667053223
2000-04-17,32.125,30.8125,31.125,31.9375,750800.0,12.164424896240234
2000-04-18,32.4375,31.8125,31.875,32.25,672000.0,12.283452033996582
2000-04-19,32.75,31.875,32.1875,32.5,590600.0,12.37867259979248
2000-04-20,33.0625,32.375,32.5,33.0625,448900.0,12.592917442321777
2000-04-24,34.75,33.125,33.125,34.75,526900.0,13.23565673828125
2000-04-25,35.9375,34.3125,34.75,35.625,642000.0,13.568924903869629
2000-04-26,36.8125,35.5625,35.6875,36.6875,700600.0,13.973610877990723
2000-04-27,36.75,36.125,36.3125,36.4375,813300.0,13.878399848937988
2000-04-28,36.625,35.0,36.4375,35.1875,856600.0,13.40229320526123
2000-05-01,35.125,34.0,35.0625,34.5,836600.0,13.1404390335083
2000-05-02,34.875,33.625,34.375,33.6875,310100.0,12.83096981048584
2000-05-03,33.6875,33.25,33.625,33.625,312700.0,12.807162284851074
2000-05-04,34.875,32.9375,33.4375,34.3125,622500.0,13.069016456604004
2000-05-05,34.125,33.5,34.125,34.0,174200.0,12.949991226196289
2000-05-08,35.6875,33.6875,33.875,34.5,420900.0,13.1404390335083
2000-05-09,34.4375,33.75,34.25,34.25,538400.0,13.045211791992188
2000-05-10,34.75,34.0625,34.25,34.625,683100.0,13.188043594360352
2000-05-11,35.1875,34.375,34.5625,35.0625,385600.0,13.354683876037598
2000-05-12,35.0625,34.4375,34.9375,34.5625,1822500.0,13.164239883422852
2000-05-15,34.9375,34.0,34.0,34.5,338100.0,13.350968360900879
2000-05-16,34.3125,33.125,34.25,33.625,721400.0,13.01235294342041
2000-05-17,33.5,32.1875,33.5,32.5,439400.0,12.576992988586426
2000-05-18,33.5,32.5625,32.75,32.75,394800.0,12.673741340637207
2000-05-19,33.625,32.625,32.625,33.375,1057200.0,12.91559886932373
2000-05-22,34.0625,33.3125,33.375,33.8125,565300.0,13.084914207458496
2000-05-23,33.8125,32.8125,33.8125,33.25,415100.0,12.86723518371582
2000-05-24,34.0625,33.0,33.5,33.3125,439900.0,12.891412734985352
2000-05-25,33.0625,32.0,33.0625,32.25,828100.0,12.480241775512695
2000-05-26,33.0,32.1875,32.25,32.5,437900.0,12.576992988586426
2000-05-30,32.625,31.625,32.625,32.125,335700.0,12.431879997253418
2000-05-31,32.9375,32.125,32.125,32.625,393200.0,12.625365257263184
2000-06-01,32.8125,32.125,32.6875,32.625,320300.0,12.625365257263184
2000-06-02,32.625,32.0,32.5625,32.25,383900.0,12.480241775512695
2000-06-05,32.125,31.25,32.0625,31.375,476500.0,12.141629219055176
2000-06-06,32.25,31.25,31.5,31.8125,486600.0,12.31093978881836
2000-06-07,32.25,31.8125,31.9375,32.0,489900.0,12.383499145507812
2000-06-08,32.9375,31.375,32.0,32.125,732800.0,12.431879997253418
2000-06-09,32.8125,32.125,32.125,32.4375,368000.0,12.552806854248047
2000-06-12,33.0625,32.5625,32.625,32.96875,509700.0,12.758390426635742
2000-06-13,33.9375,32.75,33.0,33.125,481900.0,12.818853378295898
2000-06-14,33.0625,31.875,33.0625,31.9375,459700.0,12.35931396484375
2000-06-15,33.3125,32.0625,32.0625,33.125,744500.0,12.818853378295898
2000-06-16,33.5,32.125,33.0,32.4375,951000.0,12.552806854248047
2000-06-19,32.875,32.25,32.4375,32.375,460200.0,12.528623580932617
2000-06-20,32.5,31.8125,32.5,31.8125,655800.0,12.31093978881836
2000-06-21,32.375,31.875,31.875,32.0,643900.0,12.383499145507812
2000-06-22,32.125,31.25,32.0625,31.5625,820500.0,12.214190483093262
2000-06-23,31.875,31.4375,31.5625,31.5625,441500.0,12.214190483093262
2000-06-26,32.0,31.4375,31.8125,31.6875,515400.0,12.262571334838867
2000-06-27,31.625,30.3125,31.5,30.5625,491400.0,11.827210426330566
2000-06-28,31.75,30.0,30.4375,31.28125,811100.0,12.105348587036133
2000-06-29,32.375,30.75,31.25,30.75,596700.0,11.899773597717285
2000-06-30,31.75,29.609375,30.75,29.625,971300.0,11.464410781860352
2000-07-03,31.0,29.8125,29.8125,30.3125,330700.0,11.730466842651367
2000-07-05,31.375,30.6875,30.75,30.875,1064500.0,11.948143005371094
2000-07-06,31.4375,31.0,31.0625,31.375,459700.0,12.141629219055176
2000-07-07,31.75,31.125,31.125,31.625,531900.0,12.238381385803223
2000-07-10,32.4375,31.75,31.75,32.1875,329200.0,12.456058502197266
2000-07-11,32.1875,31.6875,32.0,32.1875,313400.0,12.456058502197266
2000-07-12,32.1875,31.625,32.125,31.75,448200.0,12.286754608154297
2000-07-13,32.0625,31.25,31.75,32.0625,169700.0,12.40768814086914
2000-07-14,32.4375,31.375,31.9375,31.5625,318500.0,12.214190483093262
2000-07-17,31.9375,31.34375,31.375,31.625,265500.0,12.238381385803223
2000-07-18,32.125,31.5,31.5625,31.75,477400.0,12.286754608154297
2000-07-19,32.5,31.8125,31.8125,32.375,753700.0,12.528623580932617
2000-07-20,32.4375,31.5625,32.4375,31.875,481000.0,12.335122108459473
2000-07-21,31.9375,31.5,31.75,31.5625,479200.0,12.214190483093262
2000-07-24,31.5625,30.5625,31.5625,31.0,399000.0,11.996514320373535
2000-07-25,31.6875,30.875,31.0,31.125,257600.0,12.044891357421875
2000-07-26,31.125,30.125,31.0,30.1875,1068300.0,11.682093620300293
2000-07-27,30.75,30.3125,30.375,30.5,346800.0,11.803021430969238
2000-07-28,30.625,30.25,30.5,30.375,188600.0,11.754652976989746
2000-07-31,30.8125,30.1875,30.8125,30.3125,407200.0,11.730466842651367
2000-08-01,31.0,30.3125,30.3125,30.875,426000.0,11.948143005371094
2000-08-02,31.375,30.8125,30.875,30.9375,782200.0,11.972332000732422
2000-08-03,31.9375,31.1875,31.1875,31.765625,659900.0,12.29279899597168
2000-08-04,32.375,31.0,31.5625,32.375,988300.0,12.528623580932617
2000-08-07,33.078125,32.0625,32.25,33.0625,799300.0,12.794672012329102
2000-08-08,33.875,33.0625,33.875,33.625,721100.0,13.01235294342041
2000-08-09,33.625,33.25,33.4375,33.421875,754400.0,12.933740615844727
2000-08-10,33.5,33.125,33.375,33.203125,712900.0,12.849085807800293
2000-08-11,33.875,33.1875,33.25,33.703125,2130700.0,13.042577743530273
2000-08-14,33.625,32.6875,33.125,33.3125,1090600.0,13.10330581665039
2000-08-15,33.5,32.75,33.0625,33.0,460100.0,12.980382919311523
2000-08-16,32.6875,32.25,32.5,32.265625,1014300.0,12.691523551940918
2000-08-17,32.25,31.75,32.25,32.0,768100.0,12.587035179138184
2000-08-18,32.5,31.625,31.9375,32.3125,870600.0,12.709962844848633
2000-08-21,32.25,31.5,32.25,31.8125,400700.0,12.513288497924805
2000-08-22,31.8125,31.3125,31.6875,31.625,362600.0,12.439534187316895
2000-08-23,32.1875,31.3125,31.4375,32.0625,366000.0,12.611625671386719
2000-08-24,31.9375,31.25,31.875,31.25,352000.0,12.29202938079834
2000-08-25,31.25,30.125,31.25,30.4375,427700.0,11.972439765930176
2000-08-28,31.375,30.4375,30.5,31.0,460900.0,12.193693161010742
2000-08-29,31.1875,30.5625,31.125,30.5625,360700.0,12.021608352661133
2000-08-30,31.5,30.375,30.375,31.5,1300300.0,12.390369415283203
2000-08-31,31.75,31.25,31.3125,31.3125,581900.0,12.316609382629395
2000-09-01,31.4375,31.1875,31.375,31.203125,398100.0,12.27359390258789
2000-09-05,32.0625,31.1875,31.1875,31.9375,323200.0,12.562458038330078
2000-09-06,32.875,31.9375,31.9375,32.75,575000.0,12.882050514221191
2000-09-07,32.9375,32.3125,32.75,32.8125,318800.0,12.906637191772461
2000-09-08,34.4375,32.8125,32.8125,34.34375,945000.0,13.508944511413574
2000-09-11,35.375,34.1875,34.25,34.953125,875900.0,13.748635292053223
2000-09-12,35.5,34.25,35.0,34.75,575600.0,13.66873836517334
2000-09-13,35.5625,34.1875,35.0,34.4375,368800.0,13.545821189880371
2000-09-14,34.3125,33.625,34.3125,34.0,385100.0,13.373732566833496
2000-09-15,35.125,33.9375,34.25,34.453125,804800.0,13.551961898803711
2000-09-18,34.9375,33.6875,34.9375,33.796875,785000.0,13.29383373260498
2000-09-19,33.6875,32.6875,33.625,33.1875,678100.0,13.054141998291016
2000-09-20,33.4375,32.1875,32.9375,32.9375,631600.0,12.955801010131836
2000-09-21,33.5,31.8125,32.9375,32.375,1187300.0,12.734545707702637
2000-09-22,33.5,32.0625,32.1875,32.8125,312100.0,12.906637191772461
2000-09-25,33.0,32.5,32.8125,32.8125,497900.0,12.906637191772461
2000-09-26,34.0,32.8125,32.875,34.0,711400.0,13.373732566833496
2000-09-27,34.375,33.125,34.0,34.328125,438200.0,13.502799034118652
2000-09-28,34.9375,33.625,34.3125,34.0625,371800.0,13.39831256866455
2000-09-29,34.5,33.875,33.875,34.140625,345400.0,13.429046630859375
2000-10-02,34.6875,33.4375,34.0625,34.6875,433100.0,13.644153594970703
2000-10-03,34.6875,33.5,34.375,33.875,677400.0,13.324563026428223
2000-10-04,34.375,32.6875,33.75,33.0625,665200.0,13.00497055053711
2000-10-05,33.4375,32.3125,32.5,32.375,824500.0,12.734545707702637
2000-10-06,32.9375,32.125,32.5,32.3125,561600.0,12.709962844848633
2000-10-09,32.6875,32.0625,32.375,32.375,301700.0,12.734545707702637
2000-10-10,33.375,32.4375,32.5,32.75,578400.0,12.882050514221191
2000-10-11,33.4375,32.5625,32.875,33.375,630500.0,13.127882957458496
2000-10-12,33.625,32.375,33.125,33.0,487100.0,12.980382919311523
2000-10-13,33.375,32.625,33.0,32.9375,261700.0,12.955801010131836
