Date,High,Low,Open,Close,Volume,Adj Close
1999-12-31,13.421875,12.859375,13.125,13.421875,302800.0,10.569389343261719
2000-01-03,13.4375,13.0,13.25,13.4375,248400.0,10.581693649291992
2000-01-04,13.375,12.28125,13.0625,12.34375,563200.0,9.720393180847168
2000-01-05,12.6875,12.0625,12.375,12.59375,860000.0,9.917262077331543
2000-01-06,13.0625,12.25,12.796875,12.46875,819200.0,9.818825721740723
2000-01-07,12.53125,12.25,12.421875,12.46875,335600.0,9.818825721740723
2000-01-10,13.0,12.234375,12.40625,12.9296875,966400.0,10.181806564331055
2000-01-11,13.078125,12.53125,12.53125,12.984375,310800.0,10.224869728088379
2000-01-12,13.0625,12.84375,12.96875,12.921875,385600.0,10.175653457641602
2000-01-13,13.0,12.5,12.890625,13.0,370400.0,10.237176895141602
2000-01-14,13.265625,12.578125,12.578125,13.1875,247200.0,10.384825706481934
2000-01-18,13.96875,13.015625,13.1171875,13.8125,522400.0,10.876995086669922
2000-01-19,14.48046875,13.71875,13.75,14.078125,437600.0,11.086169242858887
2000-01-20,14.25,13.75,13.9375,14.21875,222400.0,11.196905136108398
2000-01-21,14.5625,14.125,14.28125,14.53125,429600.0,11.442992210388184
2000-01-24,14.59375,14.3125,14.5,14.5625,739200.0,11.467601776123047
2000-01-25,14.59375,14.4375,14.5,14.515625,342400.0,11.430693626403809
2000-01-26,14.75,14.4375,14.46875,14.5,364000.0,11.418384552001953
2000-01-27,14.75,14.375,14.71875,14.53125,384400.0,11.442992210388184
2000-01-28,14.71875,14.4375,14.5,14.59375,590000.0,11.492217063903809
2000-01-31,15.1875,14.0,14.5,14.3125,831200.0,11.270734786987305
2000-02-01,14.53125,13.3125,14.3125,13.75,540400.0,10.827778816223145
2000-02-02,13.9375,13.484375,13.59375,13.75,424800.0,10.827778816223145
2000-02-03,13.9921875,13.6953125,13.6953125,13.8125,303600.0,10.876995086669922
2000-02-04,14.6875,13.78125,13.859375,14.6875,455200.0,11.56603717803955
2000-02-07,14.84375,14.25,14.25,14.8125,315200.0,11.664471626281738
2000-02-08,15.125,14.75,14.796875,15.078125,511600.0,11.873642921447754
2000-02-09,15.28125,15.0625,15.0625,15.15625,538400.0,11.93517017364502
2000-02-10,15.28125,14.84375,15.171875,14.9296875,396000.0,11.756752014160156
2000-02-11,15.4375,14.859375,14.9921875,15.25,480800.0,12.008992195129395
2000-02-14,16.1875,14.90625,15.203125,15.03125,1492000.0,11.856167793273926
2000-02-15,15.25,14.765625,15.25,14.859375,163600.0,11.720599174499512
2000-02-16,15.0625,14.75,14.75,15.015625,743600.0,11.843835830688477
2000-02-17,15.078125,14.625,15.078125,15.0,328400.0,11.83151912689209
