Date,High,Low,Open,Close,Volume,Adj Close
1999-12-31,14.625,14.28125,14.5625,14.28125,128400.0,10.643630981445312
2000-01-03,14.40625,13.78125,14.40625,13.96875,474400.0,10.410730361938477
2000-01-04,14.0,13.15625,14.0,13.21875,285400.0,9.851761817932129
2000-01-05,13.0,12.6875,13.0,12.96875,608200.0,9.665436744689941
2000-01-06,12.96875,12.34375,12.96875,12.96875,962400.0,9.665436744689941
2000-01-07,13.21875,12.8125,13.125,13.21875,696200.0,9.851761817932129
2000-01-10,13.59375,13.21875,13.21875,13.3125,1859000.0,9.921630859375
2000-01-11,13.3125,12.9375,13.1875,13.15625,1087400.0,9.805182456970215
2000-01-12,13.15625,12.84375,13.15625,13.125,325200.0,9.781889915466309
2000-01-13,13.15625,13.0,13.0,13.09375,634800.0,9.758599281311035
2000-01-14,13.3125,12.75,13.09375,12.84375,1092400.0,9.572280883789062
2000-01-18,12.78125,12.53125,12.71875,12.6875,657400.0,9.455828666687012
2000-01-19,13.0625,12.5,12.6875,12.96875,1380800.0,9.665436744689941
2000-01-20,12.9375,12.46875,12.9375,12.75,842600.0,9.502410888671875
2000-01-21,13.0,12.53125,13.0,12.78125,768400.0,9.525697708129883
2000-01-24,13.5,12.6875,12.6875,13.4375,1606200.0,10.014791488647461
2000-01-25,14.125,13.0625,13.6875,14.0,1077600.0,10.434014320373535
2000-01-26,20.0625,17.53125,18.5,19.03125,6552000.0,14.183733940124512
2000-01-27,20.625,18.9375,19.0,20.28125,3556400.0,15.115351676940918
2000-01-28,20.1875,19.71875,20.125,20.0,1904400.0,14.90573787689209
2000-01-31,20.1875,19.3125,19.78125,19.3125,1696800.0,14.393353462219238
2000-02-01,20.0,19.0,19.375,20.0,2197000.0,14.90573787689209
2000-02-02,19.96875,19.53125,19.96875,19.625,944800.0,14.626255989074707
2000-02-03,20.5,19.6875,19.6875,20.1875,2066200.0,15.045482635498047
2000-02-04,20.3125,19.84375,20.3125,19.96875,540200.0,14.882447242736816
2000-02-07,20.625,19.84375,20.0,20.5625,899200.0,15.324954986572266
2000-02-08,22.0,21.0625,21.25,21.59375,836000.0,16.093542098999023
2000-02-09,23.78125,21.5,21.5,22.875,1692600.0,17.048442840576172
2000-02-10,23.0,22.1875,22.875,22.40625,629200.0,16.69908905029297
2000-02-11,22.71875,21.625,22.53125,22.0,808800.0,16.396310806274414
2000-02-14,22.21875,21.625,22.0,21.65625,673400.0,16.140125274658203
2000-02-15,22.28125,21.625,21.625,21.90625,790200.0,16.326438903808594
2000-02-16,22.1875,21.5625,21.84375,22.0625,468200.0,16.442893981933594
2000-02-17,22.15625,21.6875,22.0,21.8125,698600.0,16.25657081604004
2000-02-18,21.8125,20.9375,21.8125,21.21875,408000.0,15.814054489135742
2000-02-22,21.25,19.5,21.25,20.25,761600.0,15.092058181762695
2000-02-23,20.875,20.125,20.25,20.40625,591800.0,15.208511352539062
2000-02-24,20.9375,20.3125,20.34375,20.75,1799400.0,15.464702606201172
2000-02-25,21.21875,20.75,20.75,20.75,820200.0,15.464702606201172
2000-02-28,20.25,19.1875,20.0,20.25,545200.0,15.092058181762695
2000-02-29,21.125,20.28125,20.5,21.125,964200.0,15.744184494018555
2000-03-01,21.90625,21.0,21.125,21.875,410200.0,16.30314826965332
2000-03-02,22.3125,21.125,22.125,21.3125,416200.0,15.883932113647461
2000-03-03,21.5,20.15625,21.34375,20.75,788000.0,15.464702606201172
2000-03-06,20.75,20.53125,20.75,20.6875,420400.0,15.41812515258789
2000-03-07,20.71875,20.09375,20.71875,20.46875,602000.0,15.25508975982666
2000-03-08,20.125,19.15625,20.125,19.34375,369200.0,14.416642189025879
2000-03-09,19.90625,19.3125,19.34375,19.90625,583400.0,14.835870742797852
2000-03-10,20.1875,19.90625,19.90625,20.03125,535800.0,14.92902946472168
2000-03-13,19.96875,19.0625,19.96875,19.28125,575200.0,14.370064735412598
2000-03-14,19.84375,19.25,19.28125,19.6875,394200.0,14.67283821105957
2000-03-15,20.46875,19.5,19.6875,20.46875,648200.0,15.25508975982666
2000-03-16,20.5,20.25,20.5,20.34375,1256600.0,15.161931037902832
2000-03-17,20.25,19.75,19.75,20.1875,807000.0,15.045482635498047
2000-03-20,20.0625,19.4375,20.0625,19.46875,367400.0,14.509803771972656
2000-03-21,19.84375,18.8125,19.5,19.03125,685200.0,14.183733940124512
2000-03-22,19.78125,19.0,19.09375,19.4375,427600.0,14.4865140914917
2000-03-23,19.78125,19.125,19.40625,19.65625,288200.0,14.649548530578613
2000-03-24,19.96875,18.875,19.59375,19.21875,369400.0,14.323484420776367
2000-03-27,19.8125,19.15625,19.34375,19.78125,503200.0,14.742712020874023
2000-03-28,19.96875,19.65625,19.71875,19.75,329600.0,14.719414710998535
2000-03-29,20.8125,19.75,19.75,20.40625,2873000.0,15.208511352539062
2000-03-30,22.0,20.40625,20.40625,21.90625,1216800.0,16.326438903808594
2000-03-31,24.0,22.28125,22.5,23.7109375,2173600.0,17.671451568603516
2000-04-03,23.625,23.0,23.0,23.59375,1184400.0,17.58411979675293
2000-04-04,24.3125,22.8125,23.625,23.3125,1987400.0,17.374502182006836
2000-04-05,23.78125,23.0,23.25,23.6875,842200.0,17.65398597717285
2000-04-06,24.40625,23.59375,23.59375,24.125,879200.0,17.980045318603516
2000-04-07,25.46875,24.125,24.125,24.75,1170200.0,18.445852279663086
2000-04-10,25.3125,24.71875,24.75,25.0625,970600.0,18.678752899169922
2000-04-11,25.4375,24.78125,25.0,25.0,1287800.0,18.632173538208008
2000-04-12,25.125,24.75,24.9375,24.90625,1089600.0,18.562301635742188
2000-04-13,24.90625,24.09375,24.90625,24.34375,1157200.0,18.14307975769043
2000-04-14,24.1875,23.375,23.90625,23.40625,547400.0,17.444372177124023
2000-04-17,24.6875,23.125,23.4375,24.53125,1312600.0,18.28282356262207
2000-04-18,24.84375,24.21875,24.46875,24.4375,877600.0,18.212947845458984
2000-04-19,29.34375,26.9375,27.5,28.65625,4334600.0,21.35712432861328
2000-04-20,29.96875,27.5625,28.25,28.71875,1602800.0,21.40370750427246
2000-04-24,28.34375,27.5625,28.34375,27.625,1716400.0,20.58855438232422
2000-04-25,29.4375,28.09375,28.25,29.1875,869200.0,21.75307273864746
2000-04-26,29.65625,28.5625,28.9375,28.75,766800.0,21.427001953125
2000-04-27,30.34375,28.375,28.625,29.40625,952400.0,21.91609764099121
2000-04-28,30.6875,29.34375,29.34375,30.5625,668000.0,22.7778377532959
2000-05-01,32.5,30.75,30.9375,31.4375,1351200.0,23.429954528808594
